node,intensity
36317116,574.0980807299645
36317131,574.701641348486
38458764,721.1713824638155
38458768,806.0312356781177
38459299,219.92577914936467
38459337,194.28926107645694
38460075,119.13526531605339
38460077,120.82074681209669
38460080,123.05192739944403
38460110,120.26535696018418
38460111,119.75364394305576
38460113,119.34053602655396
38460114,118.28637574223823
38460116,117.10831770230064
38460408,198.60626322668637
38460409,202.9458395055527
38460458,118.22106379507278
38460486,120.75632272878318
38460615,116.61590420164762
38460779,111.97189294428367
38460781,111.78124288057734
38460812,210.336778393625
38460813,213.05942137070926
38460893,319.84322338706943
38460908,322.93306293200175
38461716,91.20551884439351
38461743,101.18978750834127
39724052,1538.6047277197729
39724064,1237.874674841658
39724083,427.33372500405915
39724088,432.8702788850995
39724104,1628.797387842683
39724115,1580.553200945932
39724120,1557.5570850147164
60011550,1026.1845256352929
60011556,983.21535252472
60011697,1016.06821284587
60011809,981.070609417653
60011816,1075.7709967366757
60011818,1147.4763984989388
60011852,1046.3426673393972
60011886,982.820408318595
60011887,984.3664950923186
60011894,1178.8799248284522
60011896,1171.651767552275
60011898,1167.0012224992038
60011913,1178.6394598339891
60011914,1174.833728934226
60011915,1172.6158456359522
60011919,1179.4036529510056
60011921,1184.7778211510774
60011938,1182.7459045201226
60012096,1228.7234390330423
60012141,681.409105889229
60012143,745.314508322844
60012162,730.6328434994239
60025876,1456.8609681680318
60025879,1262.9970592363313
60025880,1255.1531755552357
60246061,1227.4604560534558
60285694,1096.8500018592806
60285695,1200.9701737899709
60285699,1236.1476800148916
60285904,435.5061151087626
60285905,743.3675606397824
60285906,754.3073603457558
60285907,769.2402420891543
60285908,908.4604747713253
60285917,971.0118847000508
60721104,1538.8044876898757
60721110,1552.4886268925572
60723067,1497.600421519863
60727886,1551.947784812726
60728239,1567.9765389951456
60728243,1551.2916496783625
60728570,1554.8108824351666
60728629,1549.1522416676116
60728856,1537.254101356401
60728906,1558.1489287744205
60729048,1547.0449138953074
60729121,1560.153910914833
60729153,1559.91394061369
60729172,1580.3655462506033
60729247,1477.1923542224945
60729249,1504.3664476822362
60729263,1545.3634755611565
60729279,1555.405164916278
60730314,1550.2752869361113
60730427,1266.0840444964979
60730428,1272.2461036075963
60730429,1289.1539787105403
60730433,1272.0855207769187
60730708,1473.904259072329
60731393,1489.7564344795878
60731394,1480.1672614653012
60731395,1472.6630762033408
60731396,1470.5282894921581
60731398,1466.2364135576158
60731412,1326.2975052973252
60731413,1325.1110323066343
60731414,1317.9042194550887
60731415,1316.8409554055595
60732262,1268.4136274435184
60732279,1251.7390686994136
60732280,1246.2672202333454
60732318,1244.540040939488
60732320,1253.920031737105
60732321,1255.145653389146
60732323,1259.1268538333163
60732326,1240.7465877935679
60732690,1419.9341106776567
60732691,1528.3798786903728
60732695,1549.2038906582354
60732718,1408.807201092257
60732720,1519.089216799064
60732767,1368.1012644992568
60732768,1383.0271273500853
60732772,1362.668410251933
60732776,1406.5459198697185
60732785,1494.1155243724545
60732830,1357.4788615794544
60732917,1386.171487682683
60734481,1279.8338889513157
60734483,1282.1255752340141
60734484,1279.3117301176155
60735209,434.66652420227217
